"productId","manufacturer","title","handle","status","referencePrice","lowest","average","highest","samples","sampledShops","totalShops"
"cml3v6x220001l204z2j730l8","Storz & Bickel","Storz & Bickel Mighty+","storz-bickel-mighty-plus","ok","317.99","349","349","349","1","1","1"
"cml3vv0cu0001ib04vmyh0gew","Storz & Bickel","Storz & Bickel Volcano Classic - Grün","storz-bickel-volcano-classic-gruen","ok","289.99","249","249","249","1","1","1"
"cml3w93v3000mjr04osd2topx","Storz & Bickel","Storz & Bickel Volcano Classic - Onyx","storz-bickel-volcano-classic-onyx","ok","289.99","249","249","249","1","1","1"
"cml3wd8gi000yjr04j1t7x314","Storz & Bickel","Storz & Bickel Volcano Classic - Silber","storz-bickel-volcano-classic-silber","ok","289.99","249","249","249","1","1","1"
"cml3wral20001js04ebgb89s3","PURIZE","PURIZE Bio Hanf Zerkleinerer 2-teilig ø 55 mm","purize-bio-hanf-zerkleinerer-2-teilig-55-mm","no_prices_found","4.99","","","","","0","1"
"cml3wx9d7001nib048rjb4rwb","RAW","RAW Zerkleinerer Aluminium 4-teilig Ø 56 mm","raw-zerkleinerer-aluminium-4-teilig-56-mm","no_prices_found","13.99","","","","","0","1"
"cml3x3eew0025ib047pw6c73f","RAW","Hammercraft x RAW Black Aluminium 4-teilig Ø 55 mm","hammercraft-raw-black-aluminium-4-teilig-55-mm","no_prices_found","13.99","","","","","0","1"
"cml3xb5z2002mib04sr0vvg2k","RAW","RAW Boarding Pass","raw-boarding-pass","no_prices_found","2.39","","","","","0","1"
"cml3xn9on0002lb04hjg24xxw","","Zerkleinerer 4-teilig Aluminium dunkelgrau ø 60 mm","zerkleinerer-4-aluminium-dunkelgrau-60-mm","no_prices_found","7.99","","","","","0","1"
"cml3xuath0001l70466b796hn","Atomic","Atomic Edelstahl Zerkleinerer 4-teilig  Ø 47 mm","atomic-edelstahl-zerkleinerer-4-teilig-47-mm","no_prices_found","34.99","","","","","0","1"
"cml3y3dlp0001l204xjbanhjf","Buddies","Buddies Plastik Zerkleinerer bunt ø 58 mm","buddies-plastik-zerkleinerer-58-mm","no_prices_found","3.99","","","","","0","1"
"cml3z7uh40001l4042oz4ukjr","PURIZE","PURIZE Hash Bowl","purize-hash-bowl","no_prices_found","4.99","","","","","0","1"
"cml3zezis000kl404ev385e8q","RAW","RAW Metal Joint Tube - Emerald Green","raw-metal-joint-tube-emerald-green","ok","4.69","499.9","499.9","499.9","1","1","1"
"cml3zkmpb000pl204u9mkbbnk","Atomic","Atomic Plastic Cone Tube","atomic-plastic-cone-tube","no_prices_found","1.69","","","","","0","1"
"cml3zuog60013l2048u4rmqez","Atomic","Atomic Wasserpfeife | H: 36cm, Ø: 50mm, Schl.: 18,8mm","atomic-wasserpfeife-h-36cm-50mm-schl-18-8mm","no_prices_found","16.99","","","","","0","1"
